""	"coverage"	"feature"
"1"	0	"Exon 1"
"2"	0	""
"3"	0	""
"4"	0	""
"5"	0	""
"6"	0	""
"7"	0	""
"8"	0	""
"9"	0	""
"10"	0	""
"11"	0	""
"12"	0	""
"13"	0	""
"14"	0	""
"15"	0	""
"16"	0	""
"17"	0	""
"18"	0	""
"19"	0	""
"20"	0	""
"21"	0	""
"22"	0	""
"23"	0	""
"24"	0	""
"25"	0	""
"26"	0	""
"27"	0	""
"28"	0	""
"29"	0	""
"30"	0	""
"31"	0	""
"32"	0	""
"33"	0	""
"34"	0	""
"35"	0	""
"36"	0	""
"37"	0	""
"38"	0	""
"39"	0	""
"40"	0	""
"41"	0	""
"42"	0	""
"43"	0	""
"44"	0	""
"45"	0	""
"46"	0	""
"47"	0	""
"48"	0	""
"49"	0	""
"50"	0	""
"51"	0	""
"52"	0	""
"53"	2	""
"54"	3	""
"55"	3	""
"56"	3	""
"57"	3	""
"58"	3	""
"59"	3	""
"60"	3	""
"61"	3	""
"62"	3	""
"63"	3	""
"64"	3	""
"65"	3	""
"66"	3	""
"67"	3	""
"68"	3	""
"69"	3	""
"70"	3	""
"71"	3	""
"72"	3	""
"73"	3	""
"74"	3	""
"75"	3	""
"76"	3	""
"77"	3	""
"78"	4	""
"79"	2	""
"80"	2	""
"81"	2	""
"82"	2	""
"83"	1	""
"84"	1	""
"85"	1	""
"86"	1	""
"87"	1	""
"88"	1	""
"89"	1	""
"90"	1	""
"91"	1	""
"92"	1	""
"93"	1	""
"94"	1	""
"95"	1	""
"96"	1	""
"97"	1	""
"98"	1	""
"99"	1	""
"100"	1	""
"101"	1	""
"102"	0	""
"103"	0	""
"104"	0	""
"105"	0	""
"106"	0	""
"107"	0	""
"108"	0	""
"109"	0	""
"110"	0	""
"111"	0	""
"112"	0	""
"113"	0	""
"114"	0	""
"115"	0	""
"116"	0	""
"117"	0	""
"118"	0	""
"119"	0	""
"120"	0	""
"121"	0	""
"122"	0	""
"123"	0	""
"124"	0	""
"125"	0	""
"126"	0	""
"127"	0	""
"128"	0	""
"129"	0	""
"130"	0	""
"131"	0	""
"132"	0	""
"133"	0	""
"134"	0	""
"135"	0	""
"136"	0	""
"137"	0	""
"138"	0	""
"139"	0	""
